Pincode,Location,Latitude,Longitude
560086,"Avani Sringeri mutt, Mahalakshmipuram Layout, Basaveswaranagar Ii stage",13.00835,77.55175
560087,"Muthusandra, Panathur, Gunjur, Vartur",12.9417648,77.7774034
560091,Viswaneedam,12.9896684,77.4895467
560092,"Amruthahalli, Kodigehalli, Sahakaranagar P.o",13.057768,77.575519
560093,C.V.raman nagar,12.98005,77.67971
560094,"R.M.v. extension ii stage, Isro Anthariksha bhavan",13.0461,77.57115
560095,Koramangala Vi bk,12.9316726,77.6226789
560096,"Kanteeravanagar, Nandinilayout",13.0172617,77.5339813
560097,"Vidyaranyapura, Chikkabettahalli",13.0901167,77.5521792
560098,"Rajarajeshwarinagar, Kenchanahalli",12.94715,77.57888
560099,Muthanallur,12.826479,77.674239
560100,Electronics City,12.94715,77.57888
560102,Hsr Layout,12.94715,77.57888
560103,Bellandur,12.9337127,77.6621937
560104,Hampinagar,12.9623233,77.5409733
562106,"Anekalbazar, Vanakanahalli, Marsur, Anekal, Hennagara, Thammanayakanahalli, Sidihoskote, Bestamaranahalli, Indalavadi, Hulimangala, Samandur, Jigani, Harogadde","	12.708109",77.694251
562107,"Yadavanahalli, Mayasandra, Bidaraguppe, Attibele, Neralur",12.7897,77.7524
562125,"Handenahalli, Kugur, Sarjapura, Dommasandra",12.708112,77.694248
562130,"Chikkanahalli, Kadabagere, Chunchanakuppe, Tavarekere",13.27706,77.3
562149,"Doddagubbi, Kannur, Bagalur, Bandikodigehalli",13.0705843,77.6735873
562157,"Hunasamaranahalli, Doddajala, Vidyanagara, Tarahunise, Chikkajala, Bettahalsur",13.182027,77.6507399
